Term	S	tf	df	idf	tf-idf*	tf/S	df/S	(tf*df)/S^2
apart	4507	699	262	1,235586267	863,6748005	0,155092079	0,058131795	0,009015781
aperture	4507	3288	443	1,007483832	3312,606839	0,729531839	0,098291546	0,071706813
apparatus	4507	11848	1064	0,62694593	7428,05538	2,628799645	0,236077213	0,620599694
apply	4507	2755	689	0,815668336	2247,166266	0,611271356	0,152873308	0,093447074
area	4507	6471	803	0,749172013	4847,892095	1,435766585	0,178167295	0,255806649
arrange	4507	4984	925	0,687745825	3427,725193	1,105835367	0,205236299	0,226957558
arrangement	4507	1191	198	1,357222368	1616,45184	0,264255602	0,043931662	0,011609188
array	4507	7493	576	0,893465075	6694,733804	1,662524961	0,127801198	0,212472682
articulate	4507	259	36	2,097585057	543,2745298	0,057466164	0,007987575	0,000459015
aspect	4507	409	132	1,533313627	627,1252734	0,090747726	0,029287775	0,002657799
aspheric	4507	543	49	1,963691478	1066,284473	0,120479254	0,010871977	0,001309848
assembly	4507	9295	608	0,869983979	8086,501083	2,06234746	0,134901265	0,278213281
assign	4507	575	105	1,632698259	938,8014989	0,127579321	0,023297093	0,002972227
assist	4507	260	79	1,756260467	456,6277214	0,057688041	0,017528289	0,001011173
associate	4507	5503	905	0,697238979	3836,906101	1,220989572	0,200798757	0,245173189
association	4507	266	71	1,802629209	479,4993697	0,059019303	0,015753273	0,000929747
attach	4507	3539	682	0,820103183	2902,345166	0,785222986	0,151320169	0,118820075
attachment	4507	1302	175	1,410849509	1836,926061	0,288883958	0,038828489	0,011216928
attribute	4507	494	38	2,074103961	1024,607357	0,109607278	0,008431329	0,000924135
audio	4507	1627	184	1,389069735	2260,016459	0,360994009	0,040825383	0,014737719
auto	4507	436	108	1,620463803	706,5222179	0,096738407	0,023962725	0,002318116
autofocus	4507	1050	142	1,501599214	1576,679174	0,232970934	0,031506545	0,007340109
automatic	4507	613	155	1,46355586	897,1597421	0,13601065	0,034390947	0,004677535
auxiliary	4507	307	44	2,010434882	617,2035086	0,068116264	0,009762592	0,000664991
average	4507	899	195	1,363852947	1226,103799	0,199467495	0,043266031	0,008630167
axial	4507	389	98	1,662661482	646,7753166	0,086310184	0,021743954	0,001876725
axis	4507	8827	1047	0,633940876	5595,796116	1,958508986	0,232305303	0,454972023
balance	4507	554	96	1,671616325	926,0754441	0,122919902	0,0213002	0,002618218
ball	4507	1038	117	1,585701696	1645,958361	0,230308409	0,025959618	0,005978718
band	4507	1180	124	1,560465873	1841,34973	0,261814955	0,027512758	0,007203251
barrel	4507	2449	229	1,294052076	3169,133533	0,543376969	0,050809851	0,027608903
barrier	4507	261	32	2,14873758	560,8205083	0,057909918	0,007100067	0,000411164
base	4507	20971	2366	0,279872818	5869,212862	4,652984247	0,524961172	2,442636061
basis	4507	699	166	1,43377947	1002,21185	0,155092079	0,036831595	0,005712289
battery	4507	655	128	1,546677588	1013,07382	0,145329487	0,028400266	0,004127396
beam	4507	1838	174	1,41333831	2597,715813	0,407810073	0,038606612	0,015744165
bearing	4507	451	71	1,802629209	812,9857734	0,100066563	0,015753273	0,001576376
become	4507	197	85	1,724468632	339,7203206	0,043709785	0,018859552	0,000824347
bias	4507	940	125	1,556977545	1463,558892	0,208564455	0,027734635	0,005784459
blade	4507	475	32	2,14873758	1020,65035	0,105391613	0,007100067	0,000748287
block	4507	2281	272	1,219318654	2781,26585	0,50610162	0,060350566	0,030543519
blue	4507	538	110	1,612494873	867,5222416	0,119369869	0,024406479	0,002913398
blur	4507	784	95	1,676163953	1314,112539	0,173951631	0,021078323	0,003666609
board	4507	4059	427	1,023459683	4154,222853	0,900599068	0,094741513	0,085324119
bobbin	4507	1005	66	1,834343623	1843,515341	0,222986465	0,014643887	0,003265389
body	4507	7608	621	0,860795958	6548,935648	1,688040825	0,137785667	0,232587831
bond	4507	849	146	1,489534702	1264,614962	0,188373641	0,032394054	0,006102186
bottom	4507	2188	439	1,011423038	2212,993607	0,485467051	0,097404038	0,047286451
boundary	4507	564	100	1,653887558	932,7925828	0,125138673	0,022187708	0,00277654
bracket	4507	1453	117	1,585701696	2304,024565	0,322387397	0,025959618	0,008369054
brake	4507	219	34	2,122408641	464,8074924	0,048591081	0,007543821	0,000366562
brightness	4507	1089	130	1,539944206	1676,99924	0,24162414	0,02884402	0,006969412
buffer	4507	775	72	1,796555062	1392,330173	0,171954737	0,01597515	0,002747003
button	4507	669	128	1,546677588	1034,727307	0,148435767	0,028400266	0,004215615
cable	4507	1278	169	1,426000853	1822,429091	0,283558908	0,037497227	0,010632673
calculate	4507	3729	561	0,904924697	3374,464194	0,827379632	0,124473042	0,10298646
calculation	4507	455	113	1,600809115	728,3681471	0,100954071	0,02507211	0,002531132
calibrate	4507	862	167	1,431171087	1233,669477	0,191258043	0,037053472	0,007086775
calibration	4507	3276	247	1,261190605	4131,660421	0,726869314	0,054803639	0,039835083
candidate	4507	677	52	1,937884214	1311,947613	0,150210783	0,011537608	0,001733073
capacitor	4507	450	61	1,868557723	840,8509754	0,099844686	0,013534502	0,001351348
capsule	4507	89	10	2,653887558	236,1959927	0,01974706	0,002218771	4,38142E-05
capture	4507	20470	1820	0,39381617	8061,417002	4,54182383	0,403816286	1,83406243
card	4507	291	43	2,020419102	587,9419588	0,06456623	0,009540714	0,000616008
carriage	4507	329	18	2,398615053	789,1443524	0,072997559	0,003993787	0,000291537
carrier	4507	1583	103	1,641050333	2597,782678	0,351231418	0,022853339	0,008026811
carry	4507	702	239	1,275489657	895,3937393	0,15575771	0,053028622	0,008259617
case	4507	1802	250	1,255947549	2263,217484	0,399822498	0,05546927	0,022177862
casing	4507	626	48	1,972646321	1234,876597	0,138895052	0,0106501	0,001479246
cavity	4507	1027	150	1,477796299	1517,696799	0,227867761	0,033281562	0,007583795
cell	4507	596	62	1,861495869	1109,451538	0,13223874	0,013756379	0,001819126
cement	4507	142	24	2,273676316	322,8620369	0,031506545	0,00532505	0,000167774
center	4507	2965	632	0,85317048	2529,650473	0,657865542	0,140226315	0,092250061
chain	4507	627	39	2,062822951	1293,38999	0,139116929	0,008653206	0,001203807
chamber	4507	307	40	2,051827567	629,911063	0,068116264	0,008875083	0,000604538
change	4507	3273	678	0,822657864	2692,55919	0,726203683	0,15043266	0,109244752
changing	4507	730	237	1,279139212	933,7716248	0,161970268	0,052584868	0,008517185
channel	4507	2004	207	1,337917213	2681,186094	0,444641669	0,045928556	0,02042175
character	4507	505	43	2,020419102	1020,311647	0,112047925	0,009540714	0,001069017
characteristic	4507	1531	251	1,254213837	1920,201384	0,33969381	0,055691147	0,018917938
characterize	4507	365	99	1,658252363	605,2621127	0,080985134	0,021965831	0,001778906
charge	4507	1286	168	1,428578276	1837,151663	0,285333925	0,037275349	0,010635922
chassis	4507	218	23	2,292159722	499,6908194	0,048369203	0,005103173	0,000246836
chip	4507	1150	122	1,567527727	1802,656887	0,255158642	0,027069004	0,00690689
circle	4507	443	68	1,821378645	806,8707399	0,098291546	0,015087641	0,001482988
circuit	4507	7601	714	0,800189346	6082,239221	1,686487686	0,158420235	0,267173776
circuitry	4507	1677	226	1,299779119	2179,729582	0,372087863	0,05014422	0,018658056
circular	4507	506	148	1,483625843	750,7146764	0,112269803	0,032837808	0,003686694
circumferential	4507	437	109	1,61646106	706,3934833	0,096960284	0,024184602	0,002344946
clamp	4507	1190	77	1,767396833	2103,202231	0,264033725	0,017084535	0,004510893
classify	4507	342	63	1,854547009	634,2550769	0,075881961	0,013978256	0,001060697
cleaning	4507	638	50	1,954917554	1247,237399	0,141557577	0,011093854	0,001570419
client	4507	649	46	1,991129726	1292,243192	0,143998225	0,010206346	0,001469696
clip	4507	450	57	1,898012702	854,1057161	0,099844686	0,012646994	0,001262735
clock	4507	940	92	1,690099731	1588,693747	0,208564455	0,020412691	0,004257362
close	4507	1939	487	0,966358597	1873,769319	0,430219658	0,108054138	0,046487014
cluster	4507	548	33	2,135373618	1170,184743	0,12158864	0,007321944	0,000890265
coat	4507	443	107	1,62450378	719,6551747	0,098291546	0,023740848	0,002333525
code	4507	1766	251	1,254213837	2214,941635	0,391834923	0,055691147	0,021821736
coefficient	4507	666	98	1,662661482	1107,332547	0,147770135	0,021743954	0,003213107
coil	4507	3512	255	1,247347378	4380,68399	0,779232305	0,056578655	0,044087916
collect	4507	636	159	1,452490434	923,7839159	0,141113823	0,035278456	0,004978278
color	4507	6434	522	0,936217055	6023,620532	1,427557133	0,115819836	0,165339433
column	4507	1048	147	1,486570223	1557,925594	0,23252718	0,032615931	0,00758409
combination	4507	940	290	1,19148956	1120,000187	0,208564455	0,064344353	0,013419945
combine	4507	1410	333	1,131443325	1595,335088	0,312846683	0,073885068	0,023114698
command	4507	1913	227	1,297861701	2482,809434	0,424450854	0,050366097	0,021377933
communicate	4507	1041	295	1,184065542	1232,612229	0,23097404	0,065453739	0,015118114
communication	4507	3600	527	0,932076943	3355,476994	0,798757488	0,116929221	0,093398091
communications	4507	685	116	1,589429569	1088,759255	0,1519858	0,025737741	0,003911771
compact	4507	190	55	1,913524869	363,569725	0,042156645	0,012203239	0,000514448
comparator	4507	456	51	1,946317382	887,5207262	0,101175949	0,011315731	0,00114488
compare	4507	1935	535	0,925533776	1790,907857	0,42933215	0,118704238	0,050963546
comparison	4507	721	185	1,38671583	999,8221132	0,159973375	0,04104726	0,006566469
compartment	4507	466	41	2,041103701	951,1543248	0,103394719	0,00909696	0,000940578
compensate	4507	533	165	1,436403614	765,6031262	0,118260484	0,036609718	0,004329483
compensation	4507	602	90	1,699645049	1023,186319	0,133570002	0,019968937	0,002667251
complete	4507	317	96	1,671616325	529,902375	0,070335034	0,0213002	0,00149815
component	4507	6382	587	0,885249457	5649,662033	1,416019525	0,130241846	0,184424997
compose	4507	258	105	1,632698259	421,2361508	0,057244287	0,023297093	0,001333625
composite	4507	574	95	1,676163953	962,1181089	0,127357444	0,021078323	0,002684481
composition	4507	351	33	2,135373618	749,51614	0,077878855	0,007321944	0,000570225
compound	4507	413	52	1,937884214	800,3461806	0,091635234	0,011537608	0,001057251
compress	4507	682	127	1,550083837	1057,157177	0,151320169	0,028178389	0,004263959
compression	4507	609	92	1,690099731	1029,270736	0,135123142	0,020412691	0,002758227
compute	4507	3958	432	1,018403811	4030,842285	0,878189483	0,095850899	0,084175251
computer	4507	4120	732	0,789376477	3252,231085	0,91413357	0,162414023	0,14846811
concave	4507	759	133	1,530035917	1161,297261	0,168404704	0,029509652	0,004969564
condition	4507	2695	356	1,10243756	2971,069224	0,597958731	0,078988241	0,047231708
conditional	4507	230	25	2,255947549	518,8679364	0,051031728	0,005546927	0,000283069
conductive	4507	1957	198	1,357222368	2656,084174	0,434213446	0,043931662	0,019075718
conductivity	4507	456	48	1,972646321	899,5267222	0,101175949	0,0106501	0,001077534
conductor	4507	551	58	1,890459565	1041,64322	0,122254271	0,012868871	0,001573274
configuration	4507	1785	244	1,266497732	2260,698451	0,396050588	0,054138008	0,02144139
configure	4507	24507	2701	0,222362974	5449,449401	5,437541602	0,599289993	3,25866427
connect	4507	7426	1353	0,522589761	3880,751569	1,647659197	0,300199689	0,494626779
connection	4507	2261	413	1,037937506	2346,776702	0,501664078	0,091635234	0,045970105
connector	4507	2324	210	1,331668263	3094,797044	0,515642334	0,046594187	0,024025935
consist	4507	729	291	1,189994569	867,5060409	0,161748391	0,06456623	0,010443484
constant	4507	385	121	1,571102188	604,8743423	0,085422676	0,026847127	0,002293353
constitute	4507	254	90	1,699645049	431,7098424	0,056356778	0,019968937	0,001125385
construct	4507	306	90	1,699645049	520,0913849	0,067894387	0,019968937	0,001355779
contact	4507	4092	539	0,922298793	3774,04666	0,907921012	0,119591746	0,108579859
container	4507	86	12	2,574706312	221,4247428	0,019081429	0,002662525	5,08048E-05
content	4507	1471	156	1,46076296	2148,782314	0,326381185	0,034612824	0,011296975
context	4507	312	24	2,273676316	709,3870107	0,069225649	0,00532505	0,00036863
continuous	4507	461	119	1,578340597	727,6150151	0,102285334	0,026403373	0,002700678
continuously	4507	367	129	1,543297848	566,3903101	0,081428888	0,028622143	0,002330669
contour	4507	415	73	1,790564698	743,0843496	0,092078988	0,016197027	0,001491406
contrast	4507	472	95	1,676163953	791,1493857	0,104725982	0,021078323	0,002207448
control	4507	15974	1586	0,453584375	7245,556808	3,544264477	0,351897049	1,247216211
controller	4507	4068	554	0,910377793	3703,416863	0,902595962	0,122919902	0,110947008
conversion	4507	2026	214	1,323473785	2681,357888	0,449522964	0,047481695	0,021344112
convert	4507	1566	392	1,060601491	1660,901935	0,347459507	0,086975815	0,030220574
converter	4507	1157	103	1,641050333	1898,695236	0,256711782	0,022853339	0,005866721
convex	4507	756	133	1,530035917	1156,707153	0,167739073	0,029509652	0,004949922
coordinate	4507	4087	309	1,163929079	4756,978144	0,906811626	0,068560018	0,062171021
core	4507	215	33	2,135373618	459,1053279	0,047703572	0,007321944	0,000349283
corner	4507	761	178	1,403467556	1068,03881	0,168848458	0,03949412	0,006668521
correct	4507	1624	309	1,163929079	1890,220824	0,360328378	0,068560018	0,02470412
correction	4507	2481	267	1,227376297	3045,120592	0,550477036	0,05924118	0,032610909
correlate	4507	371	78	1,761792955	653,6251864	0,082316397	0,017306412	0,001424601
correlation	4507	585	82	1,740073706	1017,943118	0,129798092	0,018193921	0,002361536
correspondence	4507	425	83	1,734809466	737,2940229	0,094297759	0,018415798	0,001736568
count	4507	951	96	1,671616325	1589,707125	0,211005103	0,0213002	0,004494451
counter	4507	491	65	1,840974201	903,9183329	0,108941646	0,01442201	0,001571158
couple	4507	8113	1275	0,548377373	4448,98563	1,800088751	0,282893277	0,509233006
cover	4507	4555	554	0,910377793	4146,770849	1,0106501	0,122919902	0,124229012
create	4507	1081	286	1,197521525	1294,520768	0,239849124	0,063456845	0,015220069
criterion	4507	400	68	1,821378645	728,5514581	0,088750832	0,015087641	0,001339041
crop	4507	344	63	1,854547009	637,964171	0,076325716	0,013978256	0,0010669
cross	4507	587	172	1,418359111	832,5767983	0,130241846	0,038162858	0,004970401
crystal	4507	427	70	1,808789518	772,3531242	0,094741513	0,015531396	0,001471468
cure	4507	568	41	2,041103701	1159,346902	0,126026181	0,00909696	0,001146455
curvature	4507	550	135	1,52355379	837,9545843	0,122032394	0,029953406	0,003655286
curve	4507	1065	191	1,372854191	1462,089713	0,23629909	0,042378522	0,010014006
cycle	4507	404	76	1,773073966	716,3218822	0,08963834	0,016862658	0,001511541
cylinder	4507	270	40	2,051827567	553,993443	0,059906812	0,008875083	0,000531678
cylindrical	4507	1030	139	1,510872758	1556,198941	0,228533393	0,030840914	0,007048179
dark	4507	219	51	1,946317382	426,2435067	0,048591081	0,011315731	0,000549844
data	4507	22221	1354	0,522268894	11605,33709	4,930330597	0,300421566	1,481177641
database	4507	532	102	1,645287386	875,2928895	0,118038607	0,022631462	0,002671386
decide	4507	104	17	2,423438637	252,0376182	0,023075216	0,00377191	8,70376E-05
decision	4507	214	34	2,122408641	454,1954492	0,047481695	0,007543821	0,000358193
decode	4507	364	63	1,854547009	675,0551111	0,080763257	0,013978256	0,001128929
decrease	4507	369	134	1,52678276	563,3828383	0,081872643	0,029731529	0,002434199
defect	4507	236	27	2,222523794	524,5156154	0,052362991	0,005990681	0,00031369
define	4507	3729	782	0,760680805	2836,578722	0,827379632	0,173507877	0,143556883
degree	4507	2258	496	0,958405882	2164,080481	0,500998447	0,110051032	0,055135396
delay	4507	404	66	1,834343623	741,0748235	0,08963834	0,014643887	0,001312654
denote	4507	392	31	2,162525864	847,7101388	0,086975815	0,006878189	0,000598236
dental	4507	434	18	2,398615053	1040,998933	0,096294653	0,003993787	0,00038458
depth	4507	5466	401	1,050743185	5743,362252	1,21278012	0,088972709	0,107904333
derive	4507	588	140	1,507759522	886,5625992	0,130463723	0,031062791	0,004052567
describe	4507	803	367	1,089221494	874,6448595	0,178167295	0,081428888	0,014507965
design	4507	419	138	1,514008472	634,3695496	0,092966497	0,030619037	0,002846545
designate	4507	263	68	1,821378645	479,0225837	0,058353672	0,015087641	0,000880419
desire	4507	745	181	1,396208983	1040,175692	0,165298425	0,040159751	0,006638344
destination	4507	520	42	2,030638268	1055,931899	0,115376082	0,009318837	0,001075171
detachable	4507	292	83	1,734809466	506,564364	0,064788107	0,018415798	0,001193125
detachably	4507	490	162	1,444372544	707,7425463	0,108719769	0,035944087	0,003907833
detect	4507	8924	1186	0,579802869	5174,160803	1,980031063	0,263146217	0,521037684
detection	4507	3840	567	0,900304499	3457,169277	0,852007988	0,125804304	0,107186272
detector	4507	2125	248	1,259435877	2676,301239	0,471488795	0,055025516	0,025943914
determination	4507	1467	306	1,168166132	1713,699715	0,325493677	0,067894387	0,022099193
determine	4507	17733	1720	0,418359111	7418,762118	3,934546261	0,381628578	1,501535294
deviation	4507	444	64	1,847707584	820,3821673	0,098513424	0,014200133	0,001398904
device	4507	40256	2370	0,279139212	11237,02812	8,931883736	0,52584868	4,696819271
diameter	4507	1038	225	1,30170504	1351,169831	0,230308409	0,049922343	0,011497535
diaphragm	4507	585	71	1,802629209	1054,538087	0,129798092	0,015753273	0,002044745
difference	4507	2217	397	1,055097051	2339,150163	0,491901487	0,088085201	0,043329241
differential	4507	346	43	2,020419102	699,0650095	0,07676947	0,009540714	0,000732436
diffusion	4507	472	53	1,929611688	910,776717	0,104725982	0,011759485	0,001231524
digital	4507	5962	554	0,910377793	5427,672404	1,322831152	0,122919902	0,162602276
dimension	4507	866	178	1,403467556	1215,402903	0,192145551	0,03949412	0,00758862
dimensional	4507	1436	283	1,202101123	1726,217212	0,318615487	0,062791214	0,020006253
diode	4507	485	117	1,585701696	769,0653227	0,107610384	0,025959618	0,002793524
direct	4507	1880	444	1,006504588	1892,228625	0,417128911	0,098513424	0,041092797
direction	4507	11232	1352	0,522910866	5873,334852	2,492123364	0,299977812	0,747581715
discharge	4507	234	36	2,097585057	490,8349034	0,051919237	0,007987575	0,000414709
discrete	4507	303	59	1,883035546	570,5597706	0,067228755	0,013090748	0,000880075
disparity	4507	755	62	1,861495869	1405,429381	0,167517195	0,013756379	0,00230443
displacement	4507	588	118	1,582005551	930,2192638	0,130463723	0,026181495	0,003415735
display	4507	15785	1131	0,600424953	9477,707885	3,502329709	0,250942978	0,878885046
dispose	4507	7782	1042	0,636019839	4949,506388	1,726647437	0,231195917	0,399193838
distal	4507	849	144	1,495525066	1269,700781	0,188373641	0,0319503	0,006018594
distance	4507	6964	1046	0,634355874	4417,654303	1,545151986	0,232083426	0,358604166
distortion	4507	749	132	1,533313627	1148,451907	0,166185933	0,029287775	0,004867216
distribution	4507	728	103	1,641050333	1194,684643	0,161526514	0,022853339	0,00369142
divide	4507	619	209	1,333741272	825,5858473	0,137341913	0,04637231	0,006368862
document	4507	279	38	2,074103961	578,6750052	0,061903705	0,008431329	0,000521931
dome	4507	579	43	2,020419102	1169,82266	0,128466829	0,009540714	0,001225665
door	4507	638	64	1,847707584	1178,837439	0,141557577	0,014200133	0,002010136
drain	4507	243	43	2,020419102	490,9618419	0,05391613	0,009540714	0,000514398
drive	4507	3551	420	1,030638268	3659,796489	0,787885511	0,093188374	0,073421769
driver	4507	1503	195	1,363852947	2049,870979	0,333481251	0,043266031	0,01442841
driving	4507	4244	407	1,044293149	4431,980124	0,941646328	0,090303972	0,085034403
duration	4507	254	65	1,840974201	467,6074472	0,056356778	0,01442201	0,000812778
dynamic	4507	690	100	1,653887558	1141,182415	0,153095185	0,022187708	0,003396831
edge	4507	3386	482	0,97084052	3287,266	0,751275793	0,106944753	0,080345004
edit	4507	376	29	2,19148956	824,0000746	0,083425782	0,006434435	0,000536798
elastic	4507	1167	161	1,447061682	1688,720983	0,258930552	0,03572221	0,009249572
electric	4507	1007	212	1,327551697	1336,844559	0,22343022	0,047037941	0,010509697
electrode	4507	1201	98	1,662661482	1996,85644	0,266474373	0,021743954	0,005794206
electronics	4507	492	80	1,750797571	861,392405	0,109163523	0,017750166	0,001937671
element	4507	11670	871	0,713869403	8330,855934	2,589305525	0,193254937	0,500396075
elongate	4507	517	107	1,62450378	839,8684545	0,11471045	0,023740848	0,002723323
embed	4507	417	123	1,563982447	652,1806802	0,092522742	0,027290881	0,002525027
emission	4507	344	47	1,9817897	681,7356568	0,076325716	0,010428223	0,000795942
emit	4507	2008	325	1,142004197	2293,144428	0,445529177	0,072110051	0,032127132
emitter	4507	216	39	2,062822951	445,5697574	0,047925449	0,008653206	0,000414709
enable	4507	1355	448	1,002609544	1358,535932	0,300643444	0,099400932	0,029884238
enclose	4507	473	151	1,474910611	697,6327189	0,104947859	0,033503439	0,003516114
enclosure	4507	715	78	1,761792955	1259,681963	0,158642112	0,017306412	0,002745526
encode	4507	1059	146	1,489534702	1577,41725	0,234967828	0,032394054	0,00761156
encoder	4507	371	40	2,051827567	761,2280273	0,082316397	0,008875083	0,000730565
endoscope	4507	386	31	2,162525864	834,7349836	0,085644553	0,006878189	0,000589079
energy	4507	654	106	1,628581693	1065,092427	0,14510761	0,02351897	0,003412782
engage	4507	1383	316	1,154200475	1596,259258	0,306856002	0,070113157	0,021514643
engagement	4507	579	112	1,604669535	929,103661	0,128466829	0,024850233	0,003192431
engine	4507	348	66	1,834343623	638,3515806	0,077213224	0,014643887	0,001130702
enhance	4507	305	127	1,550083837	472,7755703	0,067672509	0,028178389	0,001906902
enlarge	4507	180	36	2,097585057	377,5653103	0,039937874	0,007987575	0,000319007
enter	4507	792	200	1,352857562	1071,463189	0,175726647	0,044375416	0,007797943
entry	4507	310	47	1,9817897	614,354807	0,068781895	0,010428223	0,000717273
environment	4507	1731	246	1,262952451	2186,170693	0,384069226	0,054581762	0,020963175
equation	4507	455	63	1,854547009	843,8188889	0,100954071	0,013978256	0,001411162
equip	4507	931	99	1,658252363	1543,83295	0,206567562	0,021965831	0,004537428
equipment	4507	291	67	1,827812755	531,8935118	0,06456623	0,014865764	0,000959826
error	4507	1080	161	1,447061682	1562,826617	0,239627247	0,03572221	0,008560015
estimate	4507	2350	262	1,235586267	2903,627727	0,521411138	0,058131795	0,030310565
estimation	4507	518	97	1,667115824	863,5659967	0,114932327	0,021522077	0,002473582
evaluate	4507	270	66	1,834343623	495,2727781	0,059906812	0,014643887	0,000877269
evaluation	4507	705	55	1,913524869	1349,035032	0,156423341	0,012203239	0,001908871
event	4507	1846	161	1,447061682	2671,275865	0,40958509	0,03572221	0,014631285
exceed	4507	839	197	1,359421332	1140,554497	0,18615487	0,043709785	0,008136789
executable	4507	617	245	1,264721474	780,3331493	0,136898158	0,054359885	0,007441768
execute	4507	2497	822	0,739015741	1845,322304	0,554027069	0,18238296	0,101045097
execution	4507	450	145	1,492519556	671,6338001	0,099844686	0,032172177	0,003212221
exit	4507	295	72	1,796555062	529,9837432	0,065453739	0,01597515	0,001045633
expose	4507	913	243	1,268281284	1157,940813	0,202573774	0,05391613	0,010921994
exposure	4507	2855	264	1,232283631	3518,169767	0,633459064	0,058575549	0,037105213
expression	4507	407	48	1,972646321	802,8670525	0,090303972	0,0106501	0,000961746
extend	4507	4138	873	0,712873314	2949,869775	0,918127357	0,193698691	0,177840067
extension	4507	697	106	1,628581693	1135,12144	0,154648325	0,02351897	0,003637169
exterior	4507	969	171	1,420891448	1376,843813	0,214998891	0,037940981	0,008157269
external	4507	1804	386	1,067300253	1925,409657	0,400266252	0,085644553	0,034280624
extract	4507	1486	231	1,290275578	1917,349509	0,329709341	0,051253606	0,016898792
extraction	4507	187	34	2,122408641	396,8904159	0,041491014	0,007543821	0,000313001
eyepiece	4507	250	26	2,23891421	559,7285525	0,05546927	0,005768804	0,000319991
face	4507	5257	786	0,758465012	3987,250568	1,16640781	0,174395385	0,203416139
facial	4507	221	54	1,921493798	424,6501294	0,049034835	0,011981362	0,000587504
